date,calendar_code,request_count,site_count,max_temp,min_temp,precipitation,events
2014-09-01,0.0,165,6,30.6,22.8,0.0,Rain
2014-09-02,1.0,138,7,32.8,22.8,15.5,Rain-Thunderstorm
2014-09-03,1.0,127,7,29.4,18.3,0.0,None
2014-09-04,1.0,174,7,29.4,17.2,0.0,None
2014-09-05,1.0,196,7,30.6,21.7,0.0,Fog
2014-09-06,1.0,314,7,32.8,22.2,9.9,Rain-Thunderstorm
2014-09-07,1.0,156,7,27.2,17.8,0.0,None
2014-09-08,1.0,150,7,23.3,17.8,0.0,None
2014-09-09,1.0,137,7,24.4,20.6,0.0,None
2014-09-10,1.0,156,7,26.7,17.8,0.0,None
2014-09-11,1.0,135,7,30.0,20.6,0.0,None
2014-09-12,1.0,187,7,24.4,15.6,0.0,None
2014-09-13,1.0,342,7,21.1,12.8,11.7,Rain
2014-09-14,1.0,202,7,20.6,9.4,0.0,None
2014-09-15,1.0,141,7,22.8,8.3,0.0,None
2014-09-16,1.0,101,7,23.9,13.3,2.8,Rain
2014-09-17,1.0,171,7,23.3,11.7,0.0,None
2014-09-18,1.0,168,7,22.2,10.6,0.0,None
2014-09-19,1.0,222,7,21.7,12.2,0.0,None
2014-09-20,1.0,265,6,25.6,14.4,0.0,None
2014-09-21,1.0,213,7,26.7,16.1,0.0,None
2014-09-22,1.0,150,7,22.2,10.0,0.0,None
2014-09-23,1.0,154,8,21.1,6.1,0.0,None
2014-09-24,1.0,154,7,22.8,10.0,2.8,Rain
2014-09-25,1.0,203,7,17.8,13.9,26.9,Rain
2014-09-26,1.0,216,7,25.6,11.1,0.0,None
2014-09-27,1.0,267,7,28.3,11.7,0.0,None
2014-09-28,1.0,246,6,27.2,13.3,0.0,None
2014-09-29,1.0,179,8,22.8,15.6,2.3,Rain
2014-09-30,1.0,143,8,25.0,17.2,0.3,Rain
2014-11-01,1.0,353,11,10.6,6.7,16.8,Rain
2014-11-02,1.0,236,9,10.0,3.3,0.0,Rain
2014-11-03,1.0,220,11,15.0,3.3,0.0,None
2014-11-04,0.0,234,11,21.7,7.2,0.0,None
2014-11-05,1.0,222,11,20.0,8.3,0.3,Rain
2014-11-06,1.0,190,10,13.9,8.9,15.0,Rain
2014-11-07,1.0,283,10,12.8,2.2,0.0,None
2014-11-08,1.0,268,10,10.0,-1.1,0.0,None
2014-11-09,1.0,223,10,14.4,3.3,0.0,None
2014-11-10,1.0,172,10,15.6,0.6,0.0,None
2014-11-11,1.0,183,10,18.9,3.3,0.0,None
2014-11-12,1.0,252,11,20.0,4.4,0.3,Fog-Rain
2014-11-13,1.0,225,11,7.8,1.1,3.8,Rain-Snow
2014-11-14,1.0,270,12,6.1,0.0,0.0,None
2014-11-15,1.0,322,11,6.1,-2.8,0.0,None
2014-11-16,1.0,304,10,6.7,-2.8,1.8,Rain
2014-11-17,1.0,281,12,10.0,5.0,31.2,Rain
2014-11-18,1.0,271,11,6.1,-5.0,0.0,None
2014-11-19,1.0,323,12,0.6,-7.2,0.0,None
2014-11-20,1.0,258,12,10.0,-1.1,0.0,None
2014-11-21,1.0,331,12,2.8,-3.3,0.0,None
2014-11-22,1.0,339,11,7.8,-6.7,0.0,None
2014-11-23,1.0,290,10,12.8,1.7,0.0,None
2014-11-24,1.0,270,12,22.2,12.8,9.1,Rain
2014-11-25,1.0,202,12,20.0,6.7,0.0,None
2014-11-26,0.0,137,9,8.9,1.1,28.4,Rain-Snow
2014-11-27,0.0,0,0,5.6,-1.1,0.0,None
2014-11-28,0.0,82,6,5.0,-2.8,0.0,None
2014-11-29,1.0,128,9,6.1,-4.4,0.0,None
2014-11-30,1.0,264,10,15.6,4.4,0.0,None
2014-12-01,1.0,268,12,18.3,5.6,3.6,Rain
2014-12-02,1.0,344,12,5.6,1.7,9.9,Rain
2014-12-03,1.0,383,12,8.3,2.8,1.3,Fog-Rain
2014-12-04,1.0,290,12,7.2,-1.7,0.0,None
2014-12-05,1.0,353,11,6.1,2.8,1.0,Rain
2014-12-06,1.0,454,11,9.4,5.6,18.8,Rain
2014-12-07,1.0,376,11,8.3,0.6,0.3,Rain
2014-12-08,1.0,371,12,2.8,-2.2,0.0,None
2014-12-09,1.0,357,12,7.8,2.8,8.6,Rain
2014-12-10,1.0,405,12,6.7,1.7,0.0,Rain-Snow
2014-12-11,1.0,324,10,3.9,0.0,0.8,Snow
2014-12-12,1.0,287,11,4.4,0.6,0.0,None
2014-12-13,0.0,244,11,5.6,0.6,0.0,None
2014-12-14,0.0,221,9,8.3,0.0,0.0,None
2014-12-15,0.0,184,11,8.9,0.6,0.0,None
2014-12-16,0.0,230,11,9.4,-1.1,2.5,Rain
2014-12-17,0.0,195,11,12.2,2.2,0.0,None
2014-12-18,0.0,191,11,5.6,1.7,0.0,None
2014-12-19,0.0,238,11,6.1,-2.8,0.0,None
2014-12-20,0.0,181,10,2.8,-2.2,0.0,None
2014-12-21,0.0,166,10,5.0,-3.9,0.0,None
2014-12-22,0.0,133,10,6.7,-5.6,1.3,Rain
2014-12-23,0.0,175,10,11.1,6.7,1.8,Fog-Rain
2014-12-24,0.0,27,6,18.3,8.3,24.1,Fog-Rain
2014-12-25,0.0,0,0,18.3,3.9,1.0,Rain
2014-12-26,0.0,97,9,10.6,-0.6,0.0,None
2014-12-27,0.0,138,10,13.3,-1.1,0.0,None
2014-12-28,0.0,160,10,13.9,1.7,1.5,Rain
2014-12-29,0.0,135,11,8.3,1.1,0.0,None
2014-12-30,0.0,172,11,3.9,-3.3,0.0,None
2014-12-31,0.0,184,10,1.1,-6.7,0.0,None
2015-01-01,0.0,151,7,5.6,-5.0,0.0,None
2015-01-02,0.0,182,9,6.1,-2.8,0.0,None
2015-01-03,0.0,223,10,6.1,-4.4,14.5,Rain
2015-01-04,0.0,195,11,16.7,5.0,8.4,Fog-Rain
2015-01-05,0.0,180,12,9.4,-4.4,0.0,None
2015-01-06,0.0,213,12,-3.3,-10.0,3.8,Fog-Snow
2015-01-07,0.0,237,12,-4.4,-11.1,0.0,None
2015-01-08,0.0,214,11,-6.7,-13.3,0.0,None
2015-01-09,0.0,293,11,2.2,-6.7,0.3,Snow
2015-01-10,0.0,276,12,-5.0,-11.7,0.0,None
2015-01-11,0.0,281,10,5.0,-11.7,0.0,None
2015-01-12,0.0,232,12,3.3,0.6,18.0,Rain
2015-01-13,0.0,212,13,3.3,-5.0,0.0,None
2015-01-14,0.0,237,13,0.6,-6.1,0.0,None
2015-01-15,0.0,214,13,2.8,-2.8,0.0,None
2015-01-16,0.0,304,13,7.2,-4.4,0.0,None
2015-01-17,0.0,327,13,0.0,-8.3,0.0,None
2015-01-18,0.0,343,12,6.1,-2.8,42.4,Rain
2015-01-19,0.0,229,15,7.2,-1.1,0.0,None
2015-01-20,0.0,219,16,7.8,-2.8,0.0,None
2015-01-21,0.0,321,16,1.1,-3.9,2.0,Fog-Snow
2015-01-22,0.0,257,15,5.0,-2.2,0.3,Snow
2015-01-23,0.0,322,15,5.0,-3.9,5.8,Rain-Snow
2015-01-24,0.0,329,15,3.3,0.6,16.5,Rain
2015-01-25,0.0,265,14,9.4,0.0,0.0,Rain
2015-01-26,0.0,258,14,1.7,-2.2,1.0,Snow
2015-01-27,0.0,266,16,1.1,-5.6,0.0,None
2015-01-28,0.0,267,16,1.1,-7.2,0.0,None
2015-01-29,0.0,247,15,1.1,-10.0,0.0,Snow
2015-01-30,0.0,404,15,5.6,-6.7,0.0,Snow
2015-01-31,0.0,397,15,-1.7,-10.0,0.0,None
2015-02-01,0.0,321,14,5.0,-7.2,1.5,Snow
2015-02-02,0.0,268,15,5.0,-5.0,20.1,Rain
2015-02-03,0.0,235,16,-0.6,-7.2,0.0,None
2015-02-04,0.0,327,16,8.9,-5.0,0.0,None
2015-02-05,0.0,283,16,4.4,-8.9,0.0,Snow
2015-02-06,0.0,406,16,0.0,-11.1,0.0,None
2015-02-07,0.0,410,15,6.7,-8.3,0.0,None
2015-02-08,0.0,365,16,11.7,-0.6,0.0,None
2015-02-09,1.0,305,16,3.3,-1.7,0.3,Rain-Snow
2015-02-10,1.0,257,16,6.1,-2.2,0.0,None
2015-02-11,1.0,309,17,4.4,-3.9,0.0,None
2015-02-12,1.0,318,16,5.0,-7.8,0.0,None
2015-02-13,1.0,533,17,-3.9,-12.2,0.0,None
2015-02-14,1.0,531,17,0.0,-8.9,3.3,Fog-Snow
2015-02-15,1.0,593,16,-8.9,-13.9,0.0,Snow
2015-02-16,1.0,405,15,-8.9,-16.7,0.8,Snow
2015-02-17,1.0,423,16,-3.9,-10.6,5.6,Snow
2015-02-18,1.0,377,17,-1.1,-15.0,0.0,Snow
2015-02-19,1.0,391,17,-6.1,-14.4,0.0,None
2015-02-20,1.0,556,16,-7.8,-16.7,0.0,None
2015-02-21,1.0,210,15,0.6,-16.1,17.0,Fog-Rain-Snow
2015-02-22,1.0,473,15,6.1,0.0,5.8,Rain
2015-02-23,1.0,327,16,2.2,-10.6,0.0,None
2015-02-24,1.0,395,17,-5.0,-14.4,0.0,None
2015-02-25,1.0,398,16,3.3,-11.7,0.0,None
2015-02-26,1.0,378,15,0.6,-3.9,0.3,Snow
2015-02-27,1.0,556,16,-1.7,-6.7,0.3,Snow
2015-02-28,1.0,570,14,-0.6,-10.0,0.0,None
2015-03-01,1.0,615,16,0.0,-8.3,13.7,Rain-Snow
2015-03-02,1.0,369,16,3.3,-2.8,0.0,None